url	celltype	tool	dataset_key	concatenation_key	assembly
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmGm12878.bed.gz	GM12878	ChromHMM	chromhmm_nar	chromhmm_nar	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmH1hesc.bed.gz	H1-HESC	ChromHMM	chromhmm_nar	chromhmm_nar	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmHelas3.bed.gz	HELA-S3	ChromHMM	chromhmm_nar	chromhmm_nar	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmHepg2.bed.gz	HEPG2	ChromHMM	chromhmm_nar	chromhmm_nar	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmHuvec.bed.gz	HUVEC	ChromHMM	chromhmm_nar	chromhmm_nar	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmK562.bed.gz	K562	ChromHMM	chromhmm_nar	chromhmm_nar	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayGm12878.bed.gz	GM12878	Segway	segway_nar	segway_nar_GM12878	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayH1hesc.bed.gz	H1-HESC	Segway	segway_nar	segway_nar_H1-HESC	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayHelas3.bed.gz	HELA-S3	Segway	segway_nar	segway_nar_HELA-S3	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayHepg2.bed.gz	HEPG2	Segway	segway_nar	segway_nar_HEPG2	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayHuvec.bed.gz	HUVEC	Segway	segway_nar	segway_nar_HUVEC	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayK562.bed.gz	K562	Segway	segway_nar	segway_nar_K562	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmGm12878HMM.bed.gz	GM12878	ChromHMM	chromhmm9	chromhmm9	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmH1hescHMM.bed.gz	H1-HESC	ChromHMM	chromhmm9	chromhmm9	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHepg2HMM.bed.gz	HEPG2	ChromHMM	chromhmm9	chromhmm9	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHmecHMM.bed.gz	HMEC	ChromHMM	chromhmm9	chromhmm9	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHsmmHMM.bed.gz	HSMM	ChromHMM	chromhmm9	chromhmm9	hg19
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmHuvecHMM.bed.gz	HUVEC	ChromHMM	chromhmm9	chromhmm9	hg19
