reg	true_label	predicted_label	prob	assignments
1	Enhancer	Enhancer	-12.4290282145	11
1	Enhancer	FacultativeHet	-inf	0
1	Enhancer	Bivalent	-inf	0
1	Enhancer	Promoter	-inf	0
1	Enhancer	Unclassified	-inf	0
1	Enhancer	Quiescent	-inf	0
1	Enhancer	RegPermissive	-19.5239759805	4
1	Enhancer	Transcribed	-inf	0
1	Enhancer	ConstitutiveHet	-inf	0
1	Bivalent	Enhancer	-inf	0
1	Bivalent	FacultativeHet	-inf	2
1	Bivalent	Bivalent	-inf	8
1	Bivalent	Promoter	-inf	2
1	Bivalent	Unclassified	-inf	0
1	Bivalent	Quiescent	-inf	0
1	Bivalent	RegPermissive	-inf	1
1	Bivalent	Transcribed	-inf	0
1	Bivalent	ConstitutiveHet	-inf	0
1	FacultativeHet	Enhancer	-inf	0
1	FacultativeHet	FacultativeHet	-inf	24
1	FacultativeHet	Bivalent	-inf	2
1	FacultativeHet	Promoter	-inf	1
1	FacultativeHet	Unclassified	-inf	0
1	FacultativeHet	Quiescent	-inf	1
1	FacultativeHet	RegPermissive	-inf	3
1	FacultativeHet	Transcribed	-inf	0
1	FacultativeHet	ConstitutiveHet	-inf	1
1	RegPermissive	Enhancer	-inf	6
1	RegPermissive	FacultativeHet	-inf	4
1	RegPermissive	Bivalent	-inf	1
1	RegPermissive	Promoter	-inf	3
1	RegPermissive	Unclassified	-inf	2
1	RegPermissive	Quiescent	-inf	0
1	RegPermissive	RegPermissive	-inf	27
1	RegPermissive	Transcribed	-inf	0
1	RegPermissive	ConstitutiveHet	-inf	0
1	Unclassified	Enhancer	-inf	0
1	Unclassified	FacultativeHet	-inf	2
1	Unclassified	Bivalent	-inf	0
1	Unclassified	Promoter	-inf	0
1	Unclassified	Unclassified	-inf	9
1	Unclassified	Quiescent	-inf	1
1	Unclassified	RegPermissive	-inf	3
1	Unclassified	Transcribed	-inf	2
1	Unclassified	ConstitutiveHet	-inf	3
1	Quiescent	Enhancer	-inf	0
1	Quiescent	FacultativeHet	-inf	5
1	Quiescent	Bivalent	-inf	0
1	Quiescent	Promoter	-inf	0
1	Quiescent	Unclassified	-inf	0
1	Quiescent	Quiescent	-inf	23
1	Quiescent	RegPermissive	-inf	0
1	Quiescent	Transcribed	-inf	1
1	Quiescent	ConstitutiveHet	-inf	4
1	Promoter	Enhancer	-inf	1
1	Promoter	FacultativeHet	-inf	1
1	Promoter	Bivalent	-inf	0
1	Promoter	Promoter	-inf	11
1	Promoter	Unclassified	-inf	0
1	Promoter	Quiescent	-inf	0
1	Promoter	RegPermissive	-inf	2
1	Promoter	Transcribed	-inf	0
1	Promoter	ConstitutiveHet	-inf	0
1	Transcribed	Enhancer	-inf	0
1	Transcribed	FacultativeHet	-inf	0
1	Transcribed	Bivalent	-inf	0
1	Transcribed	Promoter	-inf	0
1	Transcribed	Unclassified	-inf	2
1	Transcribed	Quiescent	-inf	2
1	Transcribed	RegPermissive	-inf	0
1	Transcribed	Transcribed	-inf	32
1	Transcribed	ConstitutiveHet	-inf	0
1	ConstitutiveHet	Enhancer	-inf	0
1	ConstitutiveHet	FacultativeHet	-inf	4
1	ConstitutiveHet	Bivalent	-inf	0
1	ConstitutiveHet	Promoter	-inf	0
1	ConstitutiveHet	Unclassified	-inf	2
1	ConstitutiveHet	Quiescent	-inf	6
1	ConstitutiveHet	RegPermissive	-inf	0
1	ConstitutiveHet	Transcribed	-inf	1
1	ConstitutiveHet	ConstitutiveHet	-inf	3
2	Enhancer	Enhancer	-inf	8
2	Enhancer	FacultativeHet	-inf	0
2	Enhancer	Bivalent	-inf	0
2	Enhancer	Promoter	-inf	0
2	Enhancer	Unclassified	-inf	0
2	Enhancer	Quiescent	-inf	0
2	Enhancer	RegPermissive	-15.9034973478	7
2	Enhancer	Transcribed	-inf	0
2	Enhancer	ConstitutiveHet	-inf	0
2	Bivalent	Enhancer	-inf	0
2	Bivalent	FacultativeHet	-inf	3
2	Bivalent	Bivalent	-inf	7
2	Bivalent	Promoter	-inf	1
2	Bivalent	Unclassified	-inf	0
2	Bivalent	Quiescent	-inf	0
2	Bivalent	RegPermissive	-inf	2
2	Bivalent	Transcribed	-inf	0
2	Bivalent	ConstitutiveHet	-inf	0
2	FacultativeHet	Enhancer	-inf	0
2	FacultativeHet	FacultativeHet	-inf	23
2	FacultativeHet	Bivalent	-inf	0
2	FacultativeHet	Promoter	-inf	1
2	FacultativeHet	Unclassified	-inf	1
2	FacultativeHet	Quiescent	-inf	2
2	FacultativeHet	RegPermissive	-inf	3
2	FacultativeHet	Transcribed	-inf	0
2	FacultativeHet	ConstitutiveHet	-inf	2
2	RegPermissive	Enhancer	-inf	2
2	RegPermissive	FacultativeHet	-inf	4
