fold	reg	accuracy
0	1	1.0
1	1	0.0
2	1	0.0
3	1	0.0
4	1	0.0
5	1	1.0
6	1	1.0
7	1	0.0
8	1	1.0
9	1	1.0
10	1	1.0
11	1	0.0
12	1	1.0
13	1	0.0
14	1	0.0
15	1	1.0
16	1	1.0
17	1	0.0
18	1	0.0
19	1	1.0
20	1	1.0
21	1	0.0
22	1	0.0
23	1	1.0
24	1	1.0
25	1	1.0
26	1	1.0
27	1	0.0
28	1	1.0
29	1	1.0
30	1	1.0
31	1	1.0
32	1	1.0
33	1	0.0
34	1	1.0
35	1	0.0
36	1	1.0
37	1	1.0
38	1	1.0
39	1	1.0
40	1	0.0
41	1	1.0
42	1	1.0
43	1	1.0
44	1	1.0
45	1	1.0
46	1	1.0
47	1	0.0
48	1	1.0
49	1	0.0
50	1	1.0
51	1	1.0
52	1	0.0
53	1	1.0
54	1	1.0
55	1	0.0
56	1	0.0
57	1	1.0
58	1	1.0
59	1	1.0
60	1	0.0
61	1	0.0
62	1	1.0
63	1	0.0
64	1	1.0
65	1	1.0
66	1	1.0
67	1	1.0
68	1	1.0
69	1	1.0
70	1	1.0
71	1	1.0
72	1	1.0
73	1	0.0
74	1	1.0
75	1	1.0
76	1	1.0
77	1	1.0
78	1	1.0
79	1	1.0
80	1	0.0
81	1	0.0
82	1	1.0
83	1	1.0
84	1	0.0
85	1	1.0
86	1	1.0
87	1	0.0
88	1	1.0
89	1	1.0
90	1	1.0
91	1	1.0
92	1	1.0
93	1	1.0
94	1	1.0
95	1	1.0
96	1	0.0
97	1	1.0
98	1	1.0
99	1	1.0
100	1	1.0
101	1	0.0
102	1	1.0
103	1	1.0
104	1	1.0
105	1	1.0
106	1	0.0
107	1	0.0
108	1	1.0
109	1	0.0
110	1	1.0
111	1	1.0
112	1	1.0
113	1	0.0
114	1	0.0
115	1	1.0
116	1	1.0
117	1	1.0
118	1	1.0
119	1	0.0
120	1	1.0
121	1	0.0
122	1	1.0
123	1	0.0
124	1	1.0
125	1	0.0
126	1	0.0
127	1	1.0
128	1	1.0
129	1	1.0
130	1	0.0
131	1	0.0
132	1	1.0
133	1	0.0
134	1	1.0
135	1	1.0
136	1	1.0
137	1	1.0
138	1	0.0
139	1	1.0
140	1	0.0
141	1	1.0
142	1	1.0
143	1	1.0
144	1	1.0
145	1	1.0
146	1	1.0
147	1	0.0
148	1	1.0
149	1	1.0
150	1	1.0
151	1	0.0
152	1	0.0
153	1	1.0
154	1	1.0
155	1	0.0
156	1	1.0
157	1	1.0
158	1	0.0
159	1	0.0
160	1	1.0
161	1	1.0
162	1	1.0
163	1	0.0
164	1	1.0
165	1	0.0
166	1	1.0
167	1	1.0
168	1	1.0
169	1	1.0
170	1	1.0
171	1	1.0
172	1	0.0
173	1	0.0
174	1	0.0
175	1	1.0
176	1	1.0
177	1	1.0
178	1	0.0
179	1	1.0
180	1	1.0
181	1	0.0
182	1	0.0
183	1	1.0
184	1	0.0
185	1	0.0
186	1	1.0
187	1	0.0
188	1	0.0
189	1	1.0
190	1	1.0
191	1	1.0
192	1	1.0
193	1	0.0
194	1	1.0
195	1	1.0
196	1	1.0
197	1	1.0
198	1	1.0
199	1	1.0
200	1	0.0
201	1	1.0
202	1	1.0
203	1	0.0
204	1	1.0
205	1	0.0
206	1	0.0
207	1	1.0
208	1	0.0
209	1	1.0
210	1	0.0
211	1	1.0
212	1	1.0
213	1	1.0
214	1	0.0
215	1	1.0
216	1	0.0
217	1	1.0
218	1	1.0
219	1	1.0
220	1	0.0
221	1	0.0
222	1	1.0
0	2	1.0
1	2	1.0
2	2	0.0
3	2	0.0
4	2	0.0
5	2	1.0
6	2	1.0
7	2	0.0
8	2	1.0
9	2	1.0
10	2	1.0
11	2	0.0
12	2	0.0
13	2	0.0
14	2	1.0
15	2	0.0
16	2	0.0
17	2	0.0
18	2	0.0
19	2	1.0
20	2	1.0
21	2	1.0
22	2	0.0
23	2	1.0
24	2	1.0
25	2	1.0
26	2	1.0
27	2	0.0
28	2	1.0
29	2	1.0
30	2	1.0
31	2	1.0
32	2	1.0
33	2	1.0
34	2	1.0
35	2	0.0
36	2	1.0
37	2	0.0
38	2	1.0
39	2	1.0
40	2	0.0
41	2	1.0
42	2	0.0
43	2	0.0
44	2	0.0
45	2	1.0
46	2	1.0
47	2	0.0
48	2	1.0
49	2	1.0
50	2	1.0
51	2	1.0
52	2	1.0
53	2	1.0
54	2	1.0
55	2	0.0
56	2	0.0
57	2	0.0
58	2	1.0
59	2	1.0
60	2	0.0
61	2	0.0
62	2	1.0
63	2	0.0
64	2	1.0
65	2	1.0
66	2	1.0
67	2	0.0
68	2	1.0
69	2	1.0
70	2	1.0
71	2	0.0
72	2	1.0
73	2	0.0
74	2	0.0
75	2	1.0
76	2	1.0
77	2	0.0
78	2	1.0
79	2	1.0
80	2	0.0
81	2	0.0
82	2	1.0
83	2	1.0
84	2	1.0
85	2	1.0
86	2	1.0
87	2	1.0
88	2	1.0
89	2	1.0
90	2	0.0
91	2	0.0
92	2	1.0
93	2	1.0
94	2	1.0
95	2	1.0
96	2	0.0
97	2	1.0
98	2	1.0
99	2	1.0
100	2	1.0
101	2	0.0
102	2	1.0
103	2	1.0
104	2	1.0
105	2	1.0
106	2	0.0
107	2	0.0
108	2	1.0
109	2	0.0
110	2	1.0
111	2	1.0
112	2	0.0
113	2	0.0
114	2	0.0
115	2	1.0
116	2	1.0
117	2	1.0
118	2	1.0
119	2	0.0
120	2	1.0
121	2	1.0
122	2	1.0
123	2	0.0
124	2	1.0
125	2	1.0
126	2	0.0
127	2	1.0
128	2	1.0
129	2	0.0
130	2	0.0
131	2	0.0
132	2	1.0
133	2	0.0
134	2	1.0
135	2	1.0
136	2	0.0
137	2	1.0
138	2	1.0
139	2	1.0
140	2	0.0
141	2	0.0
142	2	1.0
143	2	1.0
144	2	1.0
145	2	1.0
146	2	1.0
147	2	0.0
148	2	1.0
149	2	1.0
150	2	1.0
151	2	1.0
152	2	0.0
153	2	1.0
154	2	1.0
155	2	1.0
156	2	1.0
157	2	1.0
158	2	0.0
159	2	1.0
160	2	1.0
161	2	1.0
162	2	1.0
163	2	0.0
164	2	0.0
165	2	0.0
166	2	1.0
167	2	1.0
168	2	1.0
169	2	1.0
170	2	1.0
171	2	1.0
172	2	1.0
173	2	0.0
174	2	0.0
175	2	1.0
176	2	1.0
177	2	1.0
178	2	0.0
179	2	1.0
180	2	1.0
181	2	1.0
182	2	0.0
183	2	1.0
184	2	0.0
185	2	0.0
186	2	1.0
187	2	0.0
188	2	0.0
189	2	1.0
190	2	1.0
191	2	1.0
192	2	1.0
193	2	0.0
194	2	1.0
195	2	1.0
196	2	1.0
197	2	1.0
198	2	1.0
199	2	1.0
200	2	0.0
201	2	1.0
202	2	1.0
203	2	0.0
204	2	1.0
205	2	0.0
206	2	0.0
207	2	1.0
208	2	1.0
209	2	1.0
210	2	0.0
211	2	1.0
212	2	1.0
213	2	1.0
214	2	0.0
215	2	0.0
216	2	0.0
217	2	1.0
218	2	1.0
219	2	1.0
220	2	0.0
221	2	1.0
222	2	0.0
0	4	1.0
1	4	0.0
2	4	0.0
3	4	0.0
4	4	0.0
5	4	1.0
6	4	1.0
7	4	0.0
8	4	1.0
9	4	1.0
10	4	1.0
11	4	0.0
12	4	0.0
13	4	0.0
14	4	0.0
15	4	1.0
16	4	1.0
17	4	0.0
18	4	1.0
19	4	1.0
20	4	1.0
21	4	1.0
22	4	0.0
23	4	1.0
24	4	1.0
25	4	1.0
26	4	1.0
27	4	0.0
28	4	1.0
29	4	1.0
30	4	1.0
31	4	0.0
32	4	1.0
33	4	1.0
34	4	1.0
35	4	1.0
36	4	1.0
