old	new
16_EnhW1	Bivalent
25_Quies	RegPermissive
4_PromD2	Bivalent
6_Tx	Bivalent
14_EnhA2	RegPermissive
19_DNase	RegPermissive
24_ReprPC	Bivalent
21_Het	Bivalent
22_PromP	Bivalent
15_EnhAF	RegPermissive
7_Tx3'	Bivalent
17_EnhW2	RegPermissive
20_ZNF/Rpts	Bivalent
10_TxEnh5'	RegPermissive
12_TxEnhW	RegPermissive
1_TssA	Bivalent
5_Tx5'	RegPermissive
18_EnhAc	RegPermissive
2_PromU	Bivalent
8_TxWk	FacultativeHet
3_PromD1	Bivalent
13_EnhA1	Bivalent
23_PromBiv	Bivalent
9_TxReg	Bivalent
11_TxEnh3'	Bivalent
