url,celltype,tool,dataset_key,concatenation_key,assembly,reference epigenome,unique_key,feature_aggregation_tab,signal_distribution_tab,unique_key
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmGm12878.bed.gz,GM12878,ChromHMM,chromhmm_nar,chromhmm_nar,hg19,ENCSR447YYN,GM12878_chromhmm_nar,gs://segway-testing/segway/94dff8a2-83df-4312-888e-4a378b70d8ef/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/94dff8a2-83df-4312-888e-4a378b70d8ef/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,GM12878_chromhmm_nar
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmGm12878HMM.bed.gz,GM12878,ChromHMM,chromhmm9,chromhmm9,hg19,ENCSR447YYN,GM12878_chromhmm9,gs://segway-testing/segway/575e5f2b-837b-4222-8ebd-5c9c371be0f2/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/575e5f2b-837b-4222-8ebd-5c9c371be0f2/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,GM12878_chromhmm9
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E116_15_coreMarks_mnemonics.bed.gz,GM12878,ChromHMM,roadmap15,roadmap15,hg19,ENCSR447YYN,GM12878_roadmap15,gs://segway-testing/segway/71e099d7-e4ba-4855-8c6e-e24ed52a2005/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/71e099d7-e4ba-4855-8c6e-e24ed52a2005/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,GM12878_roadmap15
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E116_18_core_K27ac_mnemonics.bed.gz,GM12878,ChromHMM,roadmap18,roadmap18,hg19,ENCSR447YYN,GM12878_roadmap18,gs://segway-testing/segway/de794786-fce9-4d63-990b-61917827cf54/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/de794786-fce9-4d63-990b-61917827cf54/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,GM12878_roadmap18
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/imputed12marks/jointModel/final/E116_25_imputed12marks_mnemonics.bed.gz,GM12878,ChromHMM,roadmap25,roadmap25,hg19,ENCSR447YYN,GM12878_roadmap25,gs://segway-testing/segway/8fd244fb-5510-4662-8ba0-a8df5782c94b/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/8fd244fb-5510-4662-8ba0-a8df5782c94b/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,GM12878_roadmap25
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationSegwayGm12878.bed.gz,GM12878,Segway,segway_nar,segway_nar_GM12878,hg19,ENCSR447YYN,GM12878_segway_nar,gs://segway-testing/segway/64e5909b-1d18-40f1-b90d-46bb894e8486/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/64e5909b-1d18-40f1-b90d-46bb894e8486/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,GM12878_segway_nar
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeAwgSegmentation/wgEncodeAwgSegmentationChromhmmH1hesc.bed.gz,H1-HESC,ChromHMM,chromhmm_nar,chromhmm_nar,hg19,ENCSR820QMS,H1-HESC_chromhmm_nar,gs://segway-testing/segway/425a6954-7f2e-4518-b843-a0553dec3736/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/425a6954-7f2e-4518-b843-a0553dec3736/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,H1-HESC_chromhmm_nar
http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeBroadHmm/wgEncodeBroadHmmH1hescHMM.bed.gz,H1-HESC,ChromHMM,chromhmm9,chromhmm9,hg19,ENCSR820QMS,H1-HESC_chromhmm9,gs://segway-testing/segway/37ac7744-1984-408c-b738-c6b44704b606/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/37ac7744-1984-408c-b738-c6b44704b606/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,H1-HESC_chromhmm9
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/coreMarks/jointModel/final/E003_15_coreMarks_mnemonics.bed.gz,H1-HESC,ChromHMM,roadmap15,roadmap15,hg19,ENCSR820QMS,H1-HESC_roadmap15,gs://segway-testing/segway/8712ba6d-f175-413e-a5f0-e22ffec34ab2/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/8712ba6d-f175-413e-a5f0-e22ffec34ab2/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,H1-HESC_roadmap15
http://egg2.wustl.edu/roadmap/data/byFileType/chromhmmSegmentations/ChmmModels/core_K27ac/jointModel/final/E003_18_core_K27ac_mnemonics.bed.gz,H1-HESC,ChromHMM,roadmap18,roadmap18,hg19,ENCSR820QMS,H1-HESC_roadmap18,gs://segway-testing/segway/dc69b12d-62f1-4f6d-a631-46f7a0bcf6ac/call-segtools/glob-9a503dc39dbe819d5ebf7343f90bb109/feature_aggregation.tab,gs://segway-testing/segway/dc69b12d-62f1-4f6d-a631-46f7a0bcf6ac/call-segtools/glob-2f0453ff805b02858906905b93a1b15d/signal_distribution.tab,H1-HESC_roadmap18
