label	trackname	mean	sd	n
PromF	ENCFF741UBT	1.0303415869119756146	0.600101959277178093	21123593
PromF	ENCFF369TFH	0.7001535194744623528	0.5761701090795844895	21121630
PromF	ENCFF371IXA	0.3858896863898516426	0.600859702173297196	21123400
PromF	ENCFF149IFW	0.5893561879278654608	0.6893238770461447029	21122800
PromF	ENCFF881LOL	0.39387998746723378366	0.31094626011787185628	21123800
PromF	ENCFF145SWO	1.893311790607499484	0.69123705032970741177	21123400
CtcfO	ENCFF741UBT	0.47935865348966103623	0.38261320976655243268	7026400
CtcfO	ENCFF369TFH	0.49379892372446040262	0.4997437884115150069	7026600
CtcfO	ENCFF371IXA	0.5461522493997342112	0.72385133399754556877	7026400
CtcfO	ENCFF149IFW	0.3692306956677533217	0.5426324059829478625	7025290
CtcfO	ENCFF881LOL	0.3933195328741511376	0.31246177865532717748	7026600
CtcfO	ENCFF145SWO	0.98606998024725779633	0.65774211172537038996	7026600
Enh	ENCFF741UBT	1.0479541231967609588	0.5430835924276149396	8633600
Enh	ENCFF369TFH	0.43601272166935482605	0.37317756673719498848	8633600
Enh	ENCFF371IXA	0.5892803693821500459	0.67223244126230471284	8633600
Enh	ENCFF149IFW	2.9073304420437272348	0.9959536373154046852	8633600
Enh	ENCFF881LOL	0.36222513426975265982	0.24311057509490392839	8633600
Enh	ENCFF145SWO	2.6155785736960985093	0.5685155570124178353	8633600
Low	ENCFF741UBT	0.47256271181995173125	0.4040758840847159762	414267253
Low	ENCFF369TFH	0.39492195998823131158	0.4846460057426794974	414261842
Low	ENCFF371IXA	0.41049793779126734784	0.63332559504695490305	414288568
Low	ENCFF149IFW	0.27170913522198477153	0.4906836787915374583	414260857
Low	ENCFF881LOL	0.43156003899400036494	0.41351512155859592492	414293531
Low	ENCFF145SWO	0.4840641200500303205	0.54340793962091612346	414279579
PromP	ENCFF741UBT	1.538631086205833965	0.7588566527826348877	17366396
PromP	ENCFF369TFH	1.2416643392355421544	0.7232457985581822395	17366396
PromP	ENCFF371IXA	0.24901655193486179471	0.44088600565511022855	17366200
PromP	ENCFF149IFW	0.5512580175359507375	0.6611623063312707368	17365800
PromP	ENCFF881LOL	0.30530589345902727408	0.24131802052935414718	17366400
PromP	ENCFF145SWO	1.8405440919392188606	0.73793661315874743136	17366400
TssF	ENCFF741UBT	1.9746327321026956236	0.8428583239712562795	19291200
TssF	ENCFF369TFH	0.85628002379416729475	0.588528762071875923	19290600
TssF	ENCFF371IXA	0.7665019057836620636	0.8087003523083691434	19291600
TssF	ENCFF149IFW	2.2047569913796519897	1.1195000784543525981	19291600
TssF	ENCFF881LOL	0.3626867013222503041	0.24658824148217215723	19291600
TssF	ENCFF145SWO	2.0565360093958644655	0.79224011063457286174	19291600
Tss	ENCFF741UBT	2.4788282688313202258	0.84768931634926204864	22895000
Tss	ENCFF369TFH	1.103100069293425923	0.65445582559075266455	22894829
Tss	ENCFF371IXA	0.32170247461846377762	0.49342245918643376463	22895000
Tss	ENCFF149IFW	3.0260747473013566346	1.1212435263872222963	22895000
Tss	ENCFF881LOL	0.24250180577031347098	0.20747034142653272314	22895000
Tss	ENCFF145SWO	1.1467948057000955059	0.9512338504063895822	22895000
Ctcf	ENCFF741UBT	0.48495851000009689306	0.3805819743328411455	19649800
Ctcf	ENCFF369TFH	0.62593269332518846915	0.5650762367538656742	19650600
Ctcf	ENCFF371IXA	0.33383535736634089582	0.56024438482545446487	19649800
Ctcf	ENCFF149IFW	0.2337380559891626125	0.4441463334271052513	19649091
Ctcf	ENCFF881LOL	0.5203725887158953883	0.4439298135239079672	19650800
Ctcf	ENCFF145SWO	0.5413523942748925889	0.5303579916143626099	19650200
EnhF	ENCFF741UBT	0.76598759520427533195	0.4812529130778336203	15872600
EnhF	ENCFF369TFH	0.30339214020118660146	0.336550664929582782	15872600
EnhF	ENCFF371IXA	0.6129632186859785281	0.68337284823248130864	15872600
EnhF	ENCFF149IFW	2.5012332240284020962	0.8768821371072177567	15872600
EnhF	ENCFF881LOL	0.44584391877764969662	0.3198698614340001666	15872600
EnhF	ENCFF145SWO	2.6235549730177717472	0.5786178793128348161	15872600
Pol2	ENCFF741UBT	0.34247905486089193566	0.34242164845315132722	15560800
Pol2	ENCFF369TFH	0.24807724139548401289	0.37372780673359341764	15560688
Pol2	ENCFF371IXA	0.6947985574579227324	0.767967142715377838	15561200
Pol2	ENCFF149IFW	0.39979578303911477493	0.5872086395944268601	15561066
Pol2	ENCFF881LOL	0.31131061766796169177	0.33269662437496665553	15561884
