label	trackname	mean	sd	n
PromF	ENCFF167NBF	0.47466069463446940044	0.5828714995428551154	24736917
PromF	ENCFF180LKW	1.3794282915597436234	0.9942890583568698891	24736561
PromF	ENCFF662QFK	0.6016685916538272166	0.66934974961160044314	24736917
PromF	ENCFF818GNV	1.5337218047178775441	0.5670215376451313749	24737286
PromF	ENCFF776OVW	0.5877312177178165388	0.6034353792278930908	24736917
PromF	ENCFF682WPF	1.5194221746600271587	0.7166988884300175183	24736821
CtcfO	ENCFF167NBF	0.4564268668222972086	0.5330496874018216288	6529422
CtcfO	ENCFF180LKW	0.523677212507909686	0.7275358389625110398	6529204
CtcfO	ENCFF662QFK	0.4798921740640175242	0.62647314819143475897	6529483
CtcfO	ENCFF818GNV	0.67394496324840918425	0.46392478711587840486	6529651
CtcfO	ENCFF776OVW	0.47875571337993709246	0.5491861259943985728	6529422
CtcfO	ENCFF682WPF	1.0419908579795938466	0.74645666374046039696	6529422
Enh	ENCFF167NBF	0.33307761651947906956	0.39441835435611760034	18081378
Enh	ENCFF180LKW	2.8260465194376690851	1.0275480928166521083	18081378
Enh	ENCFF662QFK	0.7531718706092552208	0.72034300761642173556	18081286
Enh	ENCFF818GNV	1.3655076164198947375	0.45316208631544909607	18081378
Enh	ENCFF776OVW	0.60955544921826482793	0.5748887521823054253	18081286
Enh	ENCFF682WPF	2.257503088248447554	0.7168306645924770523	18081186
Repr4	ENCFF167NBF	0.86832675437483312713	0.557844920937227431	174413221
Repr4	ENCFF180LKW	0.16112715876250194149	0.33166093972825969098	174411273
Repr4	ENCFF662QFK	0.41382109636146436864	0.50316327091033720865	174412060
Repr4	ENCFF818GNV	0.64909748973096955283	0.32612918175286895086	174414307
Repr4	ENCFF776OVW	0.39799539343967442256	0.49279290409365575284	174413059
Repr4	ENCFF682WPF	0.2778239275385739933	0.27948479719461611227	174411800
Repr5	ENCFF167NBF	0.9478187340274147994	0.5937923590216410167	234076115
Repr5	ENCFF180LKW	0.18890349533482790419	0.40085633094215340807	234071534
