label	trackname	mean	sd	n
PromF	ENCFF703RSA	0.6280177245614036893	0.5935107501361580632	14288248
PromF	ENCFF958BAN	0.49466850103362937092	0.37353634451147667717	14288693
PromF	ENCFF699TXY	3.1455732715201798575	0.9492316185616258431	14289627
PromF	ENCFF761QZP	0.5673906887355218939	0.46906082723710256448	14288755
PromF	ENCFF388WMD	2.492022602152210688	1.1059866878855270566	14289200
PromF	ENCFF255NQJ	1.926459386726373664	0.9882417990592071944	14289114
CtcfO	ENCFF703RSA	0.54501565455800086773	0.5664265421991912135	13626558
CtcfO	ENCFF958BAN	0.5815588447800082611	0.45310731809599154914	13632524
CtcfO	ENCFF699TXY	0.7722772955945095769	0.62792573155299289924	13630918
CtcfO	ENCFF761QZP	0.59076824205336239633	0.49156588177003765553	13633157
CtcfO	ENCFF388WMD	0.567658830416446943	0.522625471840302555	13630464
CtcfO	ENCFF255NQJ	0.9307189920345059038	0.68791974557843685664	13632409
Repr4	ENCFF703RSA	0.3078056277360220744	0.43847310541206603533	223468712
Repr4	ENCFF958BAN	1.0059587242814118446	0.45256688101196183814	223471652
Repr4	ENCFF699TXY	0.3174640067953751341	0.34842473178940594827	223470845
Repr4	ENCFF761QZP	0.60590185250059462336	0.48333121648949017035	223471383
Repr4	ENCFF388WMD	0.22649876304290765281	0.28619396331964467014	223469939
Repr4	ENCFF255NQJ	0.32546050159642957826	0.33045802240270271313	223471441
Repr2	ENCFF703RSA	0.4613647711600950838	0.48783184304874276346	136916208
Repr2	ENCFF958BAN	1.377972674012459515	0.5473545537134658538	136919394
Repr2	ENCFF699TXY	0.6524479530683315599	0.45194075042707210796	136918106
Repr2	ENCFF761QZP	0.78352910654576746283	0.53608045176812837003	136919703
Repr2	ENCFF388WMD	0.4240313777733586162	0.37701807528895458214	136919129
Repr2	ENCFF255NQJ	0.433824492055727793	0.39015316679900751356	136919703
Repr3	ENCFF703RSA	0.6625027382061439708	0.5143312630273068774	86695806
Repr3	ENCFF958BAN	1.0015019001401954934	0.51619859181039410385	86701730
Repr3	ENCFF699TXY	0.8082426891092852922	0.4422770526480957272	86698050
Repr3	ENCFF761QZP	0.8747037851850427872	0.48853034911873666841	86701706
Repr3	ENCFF388WMD	0.62044405128124492313	0.41013794210237001565	86699728
Repr3	ENCFF255NQJ	0.78757790782938595495	0.52765220854244040884	86701692
Repr1	ENCFF703RSA	0.52446674247365034847	0.50016950986034186934	185044496
Repr1	ENCFF958BAN	1.2126893637706201488	0.4665772783538489693	185049237
Repr1	ENCFF699TXY	0.5444258059673885892	0.39401384290664236831	185049142
Repr1	ENCFF761QZP	0.7912917454551058667	0.47352731552340309565	185049237
Repr1	ENCFF388WMD	0.3567653757145187045	0.3194220230284509078	185045331
Repr1	ENCFF255NQJ	0.48180200764634110351	0.36202224997332533183	185049237
Tss	ENCFF703RSA	0.46335741881131996294	0.49499683985504307066	12416804
Tss	ENCFF958BAN	0.39339634733983570256	0.34379409889489110275	12416804
Tss	ENCFF699TXY	4.0044469076283431166	0.85974215014244739606	12416804
Tss	ENCFF761QZP	0.50420843387460599963	0.46145462299857324925	12416804
Tss	ENCFF388WMD	4.028284256799248934	1.0058062302561616913	12416804
Tss	ENCFF255NQJ	0.87685752842329656436	0.85063717979641709373	12416804
ElonW1	ENCFF703RSA	0.8340737079678413825	0.63403572505712142953	114830562
ElonW1	ENCFF958BAN	0.35068427024462655965	0.266507064667956765	114830666
ElonW1	ENCFF699TXY	0.28615962446191559106	0.31387033679455006454	114830666
ElonW1	ENCFF761QZP	0.5258155938763062888	0.43108352744415946722	114830666
ElonW1	ENCFF388WMD	0.30064403323707576782	0.3099054985379817241	114830666
ElonW1	ENCFF255NQJ	0.46327460447536817582	0.3820485658159212218	114830666
EnhF	ENCFF703RSA	0.5257734142108092829	0.53146148793468374203	64689219
EnhF	ENCFF958BAN	0.43545570838195627654	0.31458935147647620943	64707521
EnhF	ENCFF699TXY	0.682006235762653074	0.4815155686963757999	64694041
EnhF	ENCFF761QZP	0.5964453284963181292	0.4551609741103585137	64708233
EnhF	ENCFF388WMD	0.84049584848720330135	0.5896628363822791485	64703209
EnhF	ENCFF255NQJ	1.6387910629111160893	0.65015971440836706257	64708276
EnhPr	ENCFF703RSA	0.7021785582334214946	0.59076143967557518343	31496108
EnhPr	ENCFF958BAN	0.5164962994843218834	0.35108081144061753848	31496582
EnhPr	ENCFF699TXY	1.6204851645799126286	0.6641506102416568074	31496108
EnhPr	ENCFF761QZP	0.65168558022110330383	0.47372420737574858486	31496582
EnhPr	ENCFF388WMD	1.968459368421397052	0.9594524424731576993	31496582
EnhPr	ENCFF255NQJ	2.3645246833436878477	0.6991757892999268424	31496582
ElonW2	ENCFF703RSA	0.7447182758980899304	0.67888209859067500057	80086835
ElonW2	ENCFF958BAN	0.33961542160421785954	0.32211690571438134016	80096913
ElonW2	ENCFF699TXY	0.42936980312326289424	0.41707667696920589385	80097351
ElonW2	ENCFF761QZP	0.4533103946665777764	0.48054145955105302302	80099653
ElonW2	ENCFF388WMD	0.39651044358518781793	0.39919590323069402809	80092008
ElonW2	ENCFF255NQJ	0.33134903984849384362	0.38186406591960518847	80097399
Faire	ENCFF703RSA	0.26406848775288050283	0.42550413274826761454	150633450
Faire	ENCFF958BAN	0.34874206618287892983	0.33146820467646673398	150647035
Faire	ENCFF699TXY	0.2959836518426036451	0.34939518452948158374	150637412
Faire	ENCFF761QZP	0.4177086626383999298	0.46176885785643450707	150647113
Faire	ENCFF388WMD	0.23010076164551420522	0.30357816861591036017	150642065
Faire	ENCFF255NQJ	0.24713508536229006282	0.32422893189997742738	150647016
Quies	ENCFF703RSA	0.12519738782436921545	0.31126497369461021236	290602355
Quies	ENCFF958BAN	0.237726633626905896	0.2994544595818178746	290779690
Quies	ENCFF699TXY	0.123922548976887463456	0.24601002972087302961	290714776
Quies	ENCFF761QZP	0.29523703106776047678	0.41879033504884490474	290796160
Quies	ENCFF388WMD	0.09760025335292145419	0.20952136664423331412	290665620
Quies	ENCFF255NQJ	0.15218091414689319219	0.26186833054749107267	290798602
Gen5'	ENCFF703RSA	1.3965321644296437251	0.69343034744804712304	31135321
Gen5'	ENCFF958BAN	0.5579042821596620449	0.336141247850730062	31140463
Gen5'	ENCFF699TXY	0.930508298633721925	0.51086447117416474735	31136218
Gen5'	ENCFF761QZP	0.77084193537183659886	0.48189025518799067825	31139124
Gen5'	ENCFF388WMD	0.9632874203789127589	0.5555246681515945759	31140371
Gen5'	ENCFF255NQJ	1.1553896442621159133	0.67180648947940317634	31140463
Enh1	ENCFF703RSA	0.48156830189945547133	0.5082334827729042223	10326056
Enh1	ENCFF958BAN	0.355633092670481418	0.30527427685267926255	10326056
Enh1	ENCFF699TXY	2.1838932252949268974	0.8453182351498481319	10326056
Enh1	ENCFF761QZP	0.45175666198876216438	0.42340388416079714396	10326056
Enh1	ENCFF388WMD	2.9453319634680903533	1.1275253049011984403	10326056
Enh1	ENCFF255NQJ	2.1180632904793320953	1.0138835050604446051	10326056
Enh2	ENCFF703RSA	0.5197816926587461437	0.5256715892403947545	18258910
Enh2	ENCFF958BAN	0.42820595044865713424	0.32326104517105041085	18258896
Enh2	ENCFF699TXY	1.0233503141012399242	0.5891239269559261736	18259013
Enh2	ENCFF761QZP	0.5745391045744085947	0.4451470162454215685	18259013
Enh2	ENCFF388WMD	1.2559714564843883185	0.79895978945545911636	18258921
Enh2	ENCFF255NQJ	2.0109185675578301344	0.681555817197361373	18259013
Low6	ENCFF703RSA	0.46228891050283848915	0.5159655127565360052	77253938
Low6	ENCFF958BAN	0.5600523577855930519	0.39210843962938609614	77262770
Low6	ENCFF699TXY	0.7283395959296579452	0.5005802156550664906	77262930
Low6	ENCFF761QZP	0.6043378580626251369	0.5238383627269873819	77265799
Low6	ENCFF388WMD	0.59607050508518774856	0.46488431612295656023	77257410
Low6	ENCFF255NQJ	0.64704669968058351826	0.55383074136109412296	77265642
Low7	ENCFF703RSA	0.24026553499833852523	0.41519326941936285808	110393356
Low7	ENCFF958BAN	0.39724236758857206506	0.37894969358534124197	110411478
Low7	ENCFF699TXY	0.33752102773591731208	0.38430480645778588108	110399514
Low7	ENCFF761QZP	0.39726019825153144495	0.47747220063233749253	110410179
Low7	ENCFF388WMD	0.22661727593656581368	0.31096588179663930455	110407867
Low7	ENCFF255NQJ	0.22163506664704395936	0.32078679905151701528	110410786
Low4	ENCFF703RSA	0.44532182432893494014	0.49795816124154997963	163200804
Low4	ENCFF958BAN	0.62633004399260716556	0.3840576992796788352	163207839
Low4	ENCFF699TXY	0.4532383429934861621	0.38923587963413625517	163208108
Low4	ENCFF761QZP	0.7180300425741354051	0.50657099758097065865	163208608
Low4	ENCFF388WMD	0.33413971555210111373	0.3331170526974148965	163207836
Low4	ENCFF255NQJ	0.43064175008821197095	0.38011791001464244756	163208192
Low5	ENCFF703RSA	0.4656353407769036948	0.5015181090523189859	177008627
Low5	ENCFF958BAN	0.5691942772122351584	0.35425123475068287415	177010736
Low5	ENCFF699TXY	0.56064629296492230354	0.41261969304892750154	177010822
Low5	ENCFF761QZP	0.7253206366411378504	0.51345743460199718685	177010954
Low5	ENCFF388WMD	0.43389119740346966355	0.36797987712976608254	177009544
Low5	ENCFF255NQJ	0.51474162066994347465	0.4202270492935215627	177010833
Low2	ENCFF703RSA	0.6665317610535722697	0.54093623519615485285	132063338
Low2	ENCFF958BAN	0.5088419850293007715	0.29625928204679852346	132064347
Low2	ENCFF699TXY	0.5203592670972002375	0.3693169838988535154	132064347
Low2	ENCFF761QZP	0.7200325139576785497	0.45202416171486254696	132064347
Low2	ENCFF388WMD	0.43012817439035880225	0.33268377485839120133	132064207
Low2	ENCFF255NQJ	0.5920767940371369433	0.39735286843126768006	132064341
Low3	ENCFF703RSA	0.2765666944863000177	0.42535137695025194637	361462506
Low3	ENCFF958BAN	0.40135102197265281945	0.29161684540690915163	361468084
Low3	ENCFF699TXY	0.17886664767294835487	0.25974932833349653464	361464215
Low3	ENCFF761QZP	0.5027226620637288283	0.43312648731139795425	361468106
Low3	ENCFF388WMD	0.14993448336623481331	0.2279004839027926079	361463201
Low3	ENCFF255NQJ	0.32552600776445003998	0.322247402317980745	361467957
Low1	ENCFF703RSA	0.40300124387891540203	0.47464956164528997808	215595046
Low1	ENCFF958BAN	0.56394252550355672226	0.3225423271420180474	215597942
Low1	ENCFF699TXY	0.255187879461943652	0.27823435039604414894	215595975
Low1	ENCFF761QZP	0.58001548351033884105	0.41951818988394601957	215598104
Low1	ENCFF388WMD	0.21319241045336275276	0.24438195458547293042	215595986
Low1	ENCFF255NQJ	0.5043916384647600809	0.3739431412138089205	215598302
Elon	ENCFF703RSA	1.27149639471836295	0.65833947272557693386	92898128
Elon	ENCFF958BAN	0.47726967737812293224	0.30108873193717115765	92898128
Elon	ENCFF699TXY	0.60237023902057162657	0.41095556242972666893	92898128
Elon	ENCFF761QZP	0.6838700306190172631	0.46071188628596005624	92898128
Elon	ENCFF388WMD	0.60196991641204224225	0.40575874983480443348	92898128
Elon	ENCFF255NQJ	0.6611834283133207114	0.45093129081488121147	92898128
Gen3'	ENCFF703RSA	1.0731171022423054132	0.7333999984671621468	34110280
Gen3'	ENCFF958BAN	0.49538051666056613523	0.3677534931160898277	34161284
Gen3'	ENCFF699TXY	0.72559972690415116246	0.49137334337304045068	34160626
Gen3'	ENCFF761QZP	0.62457434650153758113	0.51662670866810955187	34162035
Gen3'	ENCFF388WMD	0.6866442219347258262	0.49461602144859811116	34112093
Gen3'	ENCFF255NQJ	0.61687525891651435507	0.5201537678369689376	34161944
