label	trackname	mean	sd	n
13_Heterochrom/lo	ENCFF167NBF	0.569984824492821583	0.57029621773494513246	2054470598
13_Heterochrom/lo	ENCFF180LKW	0.17426766309822165336	0.37532824204883335223	2054286780
13_Heterochrom/lo	ENCFF662QFK	0.29399150348589223327	0.46933922877046884057	2054317926
13_Heterochrom/lo	ENCFF818GNV	0.59123303222740846693	0.35096993021209616387	2054673087
13_Heterochrom/lo	ENCFF776OVW	0.46107257066749188795	0.5769931033756896871	2054380201
13_Heterochrom/lo	ENCFF682WPF	0.3173769748406996764	0.3507290588688245731	2054440558
9_Txn_Transition	ENCFF167NBF	0.28372121757137702965	0.36795049304725288968	19853212
9_Txn_Transition	ENCFF180LKW	0.96276776457201570744	0.746283965000664291	19853212
9_Txn_Transition	ENCFF662QFK	1.3393854610383245183	0.8804531393778398178	19853212
9_Txn_Transition	ENCFF818GNV	0.83447097290427494926	0.39067295343225522705	19853212
9_Txn_Transition	ENCFF776OVW	0.576952271527100808	0.6232927175346133502	19853212
9_Txn_Transition	ENCFF682WPF	1.4097488815066289799	0.6522404971429550587	19853212
7_Weak_Enhancer	ENCFF167NBF	0.43993447015544904932	0.48791517494502989558	60776213
7_Weak_Enhancer	ENCFF180LKW	0.81881972492582585417	0.7265252957973684511	60773637
7_Weak_Enhancer	ENCFF662QFK	0.555933252357297983	0.6252324441887694117	60772819
7_Weak_Enhancer	ENCFF818GNV	0.74235703879906802356	0.35333642045766024503	60782923
7_Weak_Enhancer	ENCFF776OVW	0.6191415591895099725	0.63419743271893248284	60775013
7_Weak_Enhancer	ENCFF682WPF	1.5839681523307013939	0.6295219581814088028	60774813
15_Repetitive/CNV	ENCFF167NBF	0.32961875253779602117	0.4482479127073867335	2762393
15_Repetitive/CNV	ENCFF180LKW	0.19983153440458462877	0.45463021957644891033	2761617
15_Repetitive/CNV	ENCFF662QFK	0.22938841648178674537	0.44624331879709518505	2762224
15_Repetitive/CNV	ENCFF818GNV	0.5240690618222267348	0.42532038439207256496	2764910
15_Repetitive/CNV	ENCFF776OVW	0.4498866901991089717	0.6167127780919814215	2762343
15_Repetitive/CNV	ENCFF682WPF	0.21871305115889576444	0.3419873161662210976	2761510
12_Repressed	ENCFF167NBF	1.3160124089067142534	0.695945396919478333	89793312
12_Repressed	ENCFF180LKW	0.17393296229098819255	0.36624188033228915898	89782627
12_Repressed	ENCFF662QFK	0.40052812301354910246	0.5067302159338915132	89784627
12_Repressed	ENCFF818GNV	0.6118627114069269701	0.34627437366033994538	89810056
12_Repressed	ENCFF776OVW	0.47294811751433204642	0.56439190673021023755	89792222
12_Repressed	ENCFF682WPF	0.43345752096774487847	0.42425512959375317605	89780686
4_Strong_Enhancer	ENCFF167NBF	0.3255050979104973339	0.3725723998787645733	24564392
4_Strong_Enhancer	ENCFF180LKW	2.9503029818498365188	0.9024582794482904087	24564392
4_Strong_Enhancer	ENCFF662QFK	0.74830151659685402324	0.71311800567154959415	24563992
4_Strong_Enhancer	ENCFF818GNV	1.4882131139067681451	0.5127074632573002849	24564392
4_Strong_Enhancer	ENCFF776OVW	0.63090758633749365384	0.57998017374066011787	24563992
4_Strong_Enhancer	ENCFF682WPF	2.2448074433021164582	0.67269996939483984023	24563992
3_Poised_Promoter	ENCFF167NBF	1.6402702434839161141	0.79716592613591203857	4689701
3_Poised_Promoter	ENCFF180LKW	0.31140347521969106106	0.51084133623955417763	4689442
3_Poised_Promoter	ENCFF662QFK	0.5236250038666708327	0.56798054895541039876	4689442
3_Poised_Promoter	ENCFF818GNV	1.2624391834543445102	0.6344150932536557369	4691642
3_Poised_Promoter	ENCFF776OVW	0.5827463582981763376	0.61387696641051223595	4689442
3_Poised_Promoter	ENCFF682WPF	1.4493947886297002602	0.7558021100628975745	4689442
