label	trackname	mean	sd	n
PromF	ENCFF834YLI	0.53009267993561855973	0.461277064629112334	9654731
PromF	ENCFF444SGK	1.0672109660659226527	0.8056817534139983731	9655000
PromF	ENCFF689TMV	0.8192912853712477478	0.5443780430835448109	9654774
PromF	ENCFF312LYO	0.56537443792123438904	0.56467852073280204044	9654935
PromF	ENCFF010PHG	0.6293711077704933572	0.64310859130905840165	9654746
PromF	ENCFF678IWR	0.4929213072396070637	0.5915169452673023252	9654749
CtcfO	ENCFF834YLI	0.53633399803406205125	0.4296009937739604535	7324600
CtcfO	ENCFF444SGK	0.9325163782373934523	0.8395267295428535642	7324600
CtcfO	ENCFF689TMV	0.48642077329827772793	0.30749362008312751006	7324600
CtcfO	ENCFF312LYO	0.6087381492854116772	0.53861068463087304	7324600
CtcfO	ENCFF010PHG	0.4794074000461610441	0.54321418410362466586	7324600
CtcfO	ENCFF678IWR	0.52967388932661649796	0.5973786558601268156	7324600
Enh	ENCFF834YLI	0.51131374945937312624	0.3840717608054685956	15210200
Enh	ENCFF444SGK	1.7641598422173446168	0.810442351762308575	15210200
Enh	ENCFF689TMV	0.8301640098434579817	0.49756620601260208073	15210200
Enh	ENCFF312LYO	0.2854885780073423028	0.2646411551123532069	15210200
Enh	ENCFF010PHG	2.2578091144306981647	0.9611997821757655021	15210200
Enh	ENCFF678IWR	0.7952831682723902502	0.64087783430962540465	15210200
Low	ENCFF834YLI	0.47995176462341776737	0.44874348097362369385	383679928
Low	ENCFF444SGK	0.43456768445024235832	0.4640420747604263398	383682907
Low	ENCFF689TMV	0.41258293034073533848	0.30757472195433304608	383682153
Low	ENCFF312LYO	0.37561233159653880626	0.4250075324281864515	383647062
Low	ENCFF010PHG	0.29991304994919438536	0.47080086462744609395	383679973
Low	ENCFF678IWR	0.4806137985206623912	0.58963501117294124705	383677973
PromP	ENCFF834YLI	0.43164384907692095815	0.4179931762283638616	5224400
PromP	ENCFF444SGK	2.642758943328725033	1.1785075154371498282	5224400
PromP	ENCFF689TMV	1.7686234304851277421	0.96923172122282211683	5224400
PromP	ENCFF312LYO	1.1378061234163142208	0.8519209094818283205	5224400
PromP	ENCFF010PHG	0.73063336501332825187	0.67747510753529539216	5224400
PromP	ENCFF678IWR	0.24455906908987102114	0.4176063388238971189	5224400
TssF	ENCFF834YLI	0.50226497462100406523	0.40168618711126749323	17748400
TssF	ENCFF444SGK	1.5423952365736474453	0.94937759669200452397	17748400
TssF	ENCFF689TMV	2.0518125311505025204	1.0212976451491447805	17748400
TssF	ENCFF312LYO	0.2810642113111625145	0.2962995122589829855	17748400
TssF	ENCFF010PHG	1.9213230165975996045	1.0557410470959452647	17748400
TssF	ENCFF678IWR	0.94687649407521948437	0.7644783900160508051	17748400
Tss	ENCFF834YLI	0.39012179344457412582	0.3650350848668730701	18466800
Tss	ENCFF444SGK	1.9346083343376298802	1.0870124122673358269	18466800
Tss	ENCFF689TMV	3.0699379803141100974	1.0741494944357877332	18466800
Tss	ENCFF312LYO	0.30849225932951342575	0.28866723202732972467	18466800
Tss	ENCFF010PHG	2.8217534654849617856	1.1064149377634447854	18466800
Tss	ENCFF678IWR	0.40622510617948043925	0.509775973542240544	18466800
Ctcf	ENCFF834YLI	0.56205301369268538303	0.46126658472384748585	22791200
Ctcf	ENCFF444SGK	0.48176712181349293733	0.5196828571805529025	22792200
Ctcf	ENCFF689TMV	0.4720733851585457106	0.30743223098516845606	22792000
Ctcf	ENCFF312LYO	0.69718411703711295226	0.60175684279022431466	22791800
Ctcf	ENCFF010PHG	0.3581356173072141103	0.50216786943016147854	22791119
Ctcf	ENCFF678IWR	0.41537603816143007729	0.53895042352716707125	22791200
EnhF	ENCFF834YLI	0.56735903124173994543	0.44415975533698227445	16849600
