label	trackname	mean	sd	n
EnhF1	ENCFF834YLI	0.53635322714791918477	0.43269311595245795176	82280098
EnhF1	ENCFF444SGK	0.8689612911525229026	0.5461606358145680691	82279579
EnhF1	ENCFF689TMV	0.48394735096644811832	0.30563266368767895873	82280457
EnhF1	ENCFF312LYO	0.27966332748953517663	0.2906599611418305784	82277091
EnhF1	ENCFF010PHG	0.58112691847336194574	0.58052338529039194113	82280004
EnhF1	ENCFF678IWR	0.62569864102314101683	0.5959683993975820427	82279576
EnhF2	ENCFF834YLI	0.53488353917420662295	0.4298210828007241267	40468325
EnhF2	ENCFF444SGK	1.5255054225222282421	0.84509709866323127125	40467791
EnhF2	ENCFF689TMV	0.59389413741396641027	0.38861416099913132093	40476140
EnhF2	ENCFF312LYO	0.33664389639588686588	0.32669842956020116683	40474551
EnhF2	ENCFF010PHG	1.1241207811624786965	0.7723266741514237761	40468325
EnhF2	ENCFF678IWR	0.80223986528465207613	0.68766887935747866053	40467932
EnhF3	ENCFF834YLI	0.51067239164612240134	0.41000391102247814163	22328295
EnhF3	ENCFF444SGK	1.7878318476548511433	1.0273185521781915487	22327495
EnhF3	ENCFF689TMV	1.2628092395725376666	0.7411530769572119402	22331334
EnhF3	ENCFF312LYO	0.37491648167777729875	0.45915133310623010938	22324746
EnhF3	ENCFF010PHG	1.8109226624310571246	1.0418888138163148974	22328325
EnhF3	ENCFF678IWR	0.8467265397107747359	0.73174760978065919286	22327651
CtcfO	ENCFF834YLI	0.5005869257295375261	0.43536520202850278197	11686474
CtcfO	ENCFF444SGK	0.9379463379818807538	0.91952083928992025077	11685100
CtcfO	ENCFF689TMV	0.48051540420548259102	0.36407193546716522763	11686489
CtcfO	ENCFF312LYO	0.62381216827617827324	0.601247231729246453	11683783
CtcfO	ENCFF010PHG	0.48255384543693277249	0.5665779512987118066	11686101
CtcfO	ENCFF678IWR	0.50153998092045406717	0.60947706693366146254	11685538
PromF	ENCFF834YLI	0.4295938166825243888	0.39031937742784094826	13763109
PromF	ENCFF444SGK	1.6981913509162887589	1.2188082749828011639	13759643
PromF	ENCFF689TMV	2.8063253580206211533	1.1434123505985182513	13763451
PromF	ENCFF312LYO	0.31761328111256596142	0.36682349925362104664	13757755
PromF	ENCFF010PHG	2.3140336262882448078	1.1564661637230110288	13763109
PromF	ENCFF678IWR	0.6510013885637059955	0.70870248822355921733	13763109
Repr4	ENCFF834YLI	0.5557964711646241255	0.4347408858138438127	133867360
Repr4	ENCFF444SGK	0.34759403471717037744	0.35809381999204810935	133867163
Repr4	ENCFF689TMV	0.4942338710977555068	0.29608726041014931	133867597
Repr4	ENCFF312LYO	0.97595241943014850275	0.50280553773867729786	133867682
Repr4	ENCFF010PHG	0.39131228398451578564	0.49068164265113112726	133867304
Repr4	ENCFF678IWR	0.4139216265871239023	0.49734344578921683977	133867221
Repr2	ENCFF834YLI	0.41613203008171700052	0.42760754642023045884	47367625
Repr2	ENCFF444SGK	1.1452397928640513963	0.8378568411819228722	47369245
Repr2	ENCFF689TMV	0.37942097612716275604	0.3009982397399651534	47367717
Repr2	ENCFF312LYO	1.6614266701316649107	0.7237267606000853077	47367616
Repr2	ENCFF010PHG	0.27292257617604121243	0.47075504401875079593	47367625
Repr2	ENCFF678IWR	0.18486003411776873389	0.3911159849142073689	47367625
Repr3	ENCFF834YLI	0.49868686986238635898	0.44532790033931154796	147056907
Repr3	ENCFF444SGK	0.3061346712726100801	0.36617366990470811135	147056907
Repr3	ENCFF689TMV	0.43877302190620655705	0.31116689538126881458	147056907
Repr3	ENCFF312LYO	1.5027050117362368183	0.5855029915324487687	147056907
Repr3	ENCFF010PHG	0.33726015252310668157	0.51099854916780564795	147056907
Repr3	ENCFF678IWR	0.28878027593832861943	0.47447276588119222235	147056907
